audio_number,sentence,surprisal_value
01,"не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",12.517169952392578
02,"їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",12.864119529724121
03,"от тільки шо нікого не було, аж осьдечки й він, де не взявся.",13.080498695373535
04,"коли ж навідався до делятина, його хтось побачив і тут же здав.",12.16286563873291
05,"цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.",13.211441993713379
06,"респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.",12.608469009399414
07,"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",12.05391788482666
08,"всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",12.620550155639648
09,"по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.",13.593281745910645
10,"у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.",13.070157051086426
11,"у 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений парагвай, який раніше називався гігантською провінцією індійців.",11.699682235717773
12,"перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",12.64293098449707
13,"хіба що «варену» (цей давній напій українців називали ще варенухою, варьохою).",11.269253730773926
14,"у результаті два види риб вимерли, а два інших виявилися під загрозою зникнення, в тому числі - горбатий головень.",13.461750984191895
15,"будьте певні, що як тільки ви дістанетесь марини, все буде достатньо очевидним. ви зустрінете інших човнових попутників і вони поділяться з вами своєю інформацією.",12.32226848602295
16,"виросте й стане ледацюгою, сутяжником, а то й бандюгою.",12.366348266601562
17,"після того як опір групи бухаріна було зламано, перегляду цього рішення ніщо не перешкоджало.",11.947508811950684
18,"хоча, чим більше часу проходить, тим очевидніше те, що багато хто добре розумів ще в наповнені космічною романтикою шістдесяті.",9.935882568359375
19,"тигр, як всебічно розвинутий атлет, може дертися вгору (хоча і не дуже вміло).",11.410272598266602
20,"дімка прокинувся від того, що хтось його шарпав і кричав.",12.204608917236328
21,"але ж і справді як добре!, - сказав він зненацька, ніби осяяний новою ідеєю.",11.355712890625
22,"злочин визнається вчиненим на території україни, якщо його виконавець або хоча б один із співучасників діяв на території україни.",12.216740608215332
23,"цікаво послухати, а тим більше дати і свою «безцінну» пораду сзр.",11.080013275146484
24,"однак, цю проблему дуже важко вирішити, і пройде багато років, перш ніж ми станемо свідками будівництва придатних термоядерних реакторів.",11.124446868896484
25,"а те, що клуб, за чутками, кришує губернатор, теж особливого резонансу не викликало — нічого іншого від губернатора, в принципі, й не чекали.",11.333683967590332
26,"таким чином, не треба було виходити з палацика у ті святочні дні, коли муситься трапезувати під відкритим небом.",12.054810523986816
27,"що ж, доживемо до понеділка, хоча і він не обіцяє нам спокою, в будь-якому випадку, в телевізійному просторі.",11.821755409240723
28,були сказані наче між іншим дві чи одна фраза.,12.320537567138672
29,"це, можна сказати, взірець ставлення до рідної мови.",12.162872314453125
30,"які ж вони всі, в істоті, були більшовики, які нелюди.",11.856029510498047
31,"тургенєв, наприклад, в тих же 40-х роках дає свої «записки охотника», в яких, як відомо, ідеалізує селянина і підносить його крізь призму свого ліберально-поміщицького світогляду.",10.572308540344238
32,"безкрилий реалізм крабба не міг, за його думкою, передати усю повноту, всю чарівність і всю велич сільського життя.",11.999309539794922
33,"одним словом, творчий елемент, елемент саморозвитку, самобутності переважав.",12.629225730895996
34,"вона (як і сама оксана) безперервно курсує поміж києвом та нью-йорком, тусується, що називається, з американською літературною та інтелектуальною богемою.",12.876161575317383
35,"судячи з усього, мвс дійсно дуже заважає комусь, хто прагне електорального тріумфу.",12.45667839050293
36,"— ваша королівська величносте! мовчіть! мовчіть, ради бога! — заблагав янкель.",12.366454124450684
37,"і все ж безуспішність спроб реалізувати в масовому масштабі заходи щодо організаційно-господарського зміщення колгоспів, пояснювалася руйнівним впливом продрозкладки.",11.469206809997559
38,"засуджений винен ще і в іншому злочині, вчиненому ним до постановлення попереднього вироку.",12.385856628417969
39,"дай мені хоч якусь премію, чи що?",11.560848236083984
40,"що то люди живуть, не те що ми – світа білого за роботою не бачимо…",13.776103019714355
41,"до речі, чи не вперше за історію українського слова друкованим способом відтворюється великоруська експресивна лексика.",12.279162406921387
42,адже нічого подібного в мене не було зімою.,12.393592834472656
43,"ну гаразд… крізь розчинені двері обширної кам'яної споруди, єдиної кам'яної у всьому селищі, ян побачив три жаркі багаття.",12.481489181518555
44,а трансформаторну будку спорудив не інакше як сам ле гарбузьє.,12.659906387329102
45,вона була в стані мало не закінченої вагітности й на протязі якихсь трьох - чотирьох тижнів мусіла народити дитину.,12.006882667541504
46,а саме що кавун можна їсти й без ножа та виделки.,12.586368560791016
47,"дзуськи! як би не так!.. на, ший!",12.023979187011719
48,"я тепер усього-на-всього армійський капрал, навчаю селюків, яка нога права, яка — ліва.",12.608652114868164
49,"незважаючи на всі історичні та культурологічні роз'яснення, критики україни як у росії, так і в нашому краї ніяк не можуть відмовитися від абсолютно невиправданої схильності протиставляти українське й галицьке.",12.617971420288086
50,вагони метроплюс завжди знаходяться у кінці поїзда ближче до кейптауна.,12.494881629943848
51,тепер ми надаємо слово нашому головному економістові. прошу (скромно сідає поруч з юрієм). ,13.321146965026855
52,лавина голодних смертей наростала з місяця в місяць аж до початку літа.,13.348007202148438
53,"фактично, всі комп'ютери, якими сьогодні користуються, працюють завдяки обробці інформації, закодованої у формі бінарних чисел.",11.760550498962402
54,"навіщо їм демонстраційний ефект для решти україни на кшталт того впливу, що був на ндр із боку фрн.",11.773188591003418
55,сьогодні у верховній раді україни знову відчувається політична метушня з приводу цього закону.,13.133462905883789
56,"одним словом, ті, кого серед постійних клієнтів не було з огляду на професійну зайнятість.",12.430996894836426
57,"старий дім був неподалік від опери, до нього ще не добралися новітні покупці.",13.427183151245117
58,кожен має право на відшкодування за рахунок держави чи органів місцевого самоврядування матеріальної та моральної шкоди.,11.749001502990723
59,"це сталося зі мною позавчора, 3 березня, великопісної середи, у перший день після закінчення карнавалу. ",10.219062805175781
60,"порядок здійснення права на страйк встановлюється законом з урахуванням необхідності забезпечення національної безпеки, охорони здоров'я, прав і свобод інших людей.",12.435469627380371
